City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,juan griego,11.0817,-63.9655,33.07,62,100,5.66,VE,1731451873
297,kongsberg,59.6652,9.6465,4.98,78,85,0.9,NO,1731451874
298,sao joao da barra,-21.6403,-41.0511,26.05,89,0,7.24,BR,1731451851
299,nuku'alofa,-21.1333,-175.2,26.19,89,75,5.66,TO,1731451877
300,pauini,-7.7136,-66.9764,24.12,93,100,1.68,BR,1731451878
301,mitrofanovka,49.9708,39.6939,-0.9,80,20,1.58,RU,1731451879
302,san ignacio de velasco,-16.3667,-60.95,21.86,60,68,4.23,BO,1731451880
303,katabu,-4.9333,122.5167,25.65,88,39,0.95,ID,1731451881
304,new norfolk,-42.7826,147.0587,17.62,46,100,1.88,AU,1731451882
305,belokurikha,51.9959,84.9896,-10.59,87,58,1.63,RU,1731451883
306,sola,-13.8833,167.55,27.14,79,63,7.97,VU,1731451884
307,swakopmund,-22.6833,14.5333,14.43,86,29,0.45,NA,1731451885
308,luancheng,37.8792,114.6517,12.0,93,100,1.83,CN,1731451886
309,aasiaat,68.7098,-52.8699,-7.95,82,100,6.53,GL,1731451887
310,kingston,17.997,-76.7936,26.53,89,75,3.6,JM,1731451599
311,narayanpet,16.7333,77.5,21.89,66,70,3.19,IN,1731451890
312,timbuktu,16.7735,-3.0074,26.49,16,98,3.85,ML,1731451891
313,lerwick,60.1545,-1.1494,11.78,95,100,10.35,GB,1731451892
314,princeville,45.7668,-61.2985,8.16,99,100,0.0,CA,1731451893
315,paulinia,-22.7611,-47.1542,22.52,60,56,6.21,BR,1731451894
316,homer,59.6425,-151.5483,0.93,70,0,0.0,US,1731451895
317,touros,-5.1989,-35.4608,25.71,81,5,6.16,BR,1731451896
318,nova sintra,14.8667,-24.7167,26.6,66,14,7.04,CV,1731451897
319,manglaur,29.8,77.8667,17.71,58,0,1.99,IN,1731451898
320,mbandaka,0.0487,18.2603,22.55,90,25,1.02,CD,1731451899
321,lucas,41.6501,-83.6666,7.08,64,0,5.14,US,1731451900
322,gamba,-2.65,10.0,25.28,91,96,2.5,GA,1731451901
323,tamanrasset,22.785,5.5228,11.95,28,0,2.06,DZ,1731451903
324,gisborne,-38.6533,178.0042,17.34,64,22,5.36,NZ,1731451660
325,murgab,37.4966,61.9714,9.93,93,100,5.14,TM,1731451905
326,burgersdorp,-30.9977,26.3286,14.9,73,8,3.38,ZA,1731451906
327,sao miguel do araguaia,-13.275,-50.1628,24.6,85,67,2.27,BR,1731451907
328,gejiu,23.306,103.1635,11.8,96,38,1.21,CN,1731451908
